cell_id,cycle,capacity,soh,voltage_mean,voltage_max,voltage_min,voltage_std,current_mean,current_max,current_min,current_std,temp_mean,temp_max,temp_min,temp_std,discharge_time,ambient_temperature
B0006,1,2.0229,0.9939,3.5146,4.2,2.6984,0.4202,-1.9853,0.0,-2.0057,0.65,24.463,35.9324,24.001,3.601,3636.82,24.0
B0006,2,2.011,0.9881,3.5205,4.1999,2.6923,0.4204,-1.9886,0.0,-2.0075,0.65,24.5314,36.2525,23.7382,3.4163,3610.91,24.0
B0006,3,2.0029,0.9841,3.5165,4.1999,2.712,0.4206,-1.984,0.0,-2.0097,0.65,24.7076,35.8766,23.8556,3.5316,3613.61,24.0
B0006,4,1.99,0.9778,3.5205,4.1999,2.7005,0.4208,-1.9781,0.0,-2.0119,0.65,24.8489,35.5215,23.9399,3.4457,3597.32,24.0
B0006,5,1.9897,0.9776,3.5206,4.1999,2.7056,0.421,-1.9573,0.0,-2.013,0.65,24.5378,35.8325,23.8925,3.3961,3591.5,24.0
B0006,6,1.9772,0.9714,3.5093,4.1998,2.6964,0.4212,-1.988,0.0,-2.0174,0.65,24.7271,36.1668,23.8959,3.4499,3562.0,24.0
B0006,7,1.9703,0.9681,3.5172,4.1998,2.7043,0.4214,-1.9791,0.0,-2.0193,0.65,24.65,36.0513,23.7305,3.4785,3533.63,24.0
B0006,8,1.9618,0.9639,3.5154,4.1998,2.7128,0.4216,-1.9901,0.0,-2.0101,0.65,24.5558,36.0434,23.7776,3.5666,3541.07,24.0
B0006,9,1.956,0.961,3.5114,4.1997,2.7086,0.4218,-1.9782,0.0,-2.0024,0.65,24.4799,36.451,23.7382,3.4131,3520.26,24.0
B0006,10,1.9448,0.9555,3.5139,4.1997,2.7007,0.422,-1.9771,0.0,-2.0149,0.65,24.7166,36.1468,23.7812,3.6273,3506.44,24.0
B0006,11,1.9452,0.9558,3.5107,4.1997,2.6948,0.4222,-1.9665,0.0,-2.0101,0.65,24.6521,35.8943,23.7867,3.5012,3493.66,24.0
B0006,12,1.9338,0.9501,3.5088,4.1996,2.7014,0.4224,-1.9698,0.0,-2.0162,0.65,24.7889,36.3121,23.7821,3.4927,3472.54,24.0
B0006,13,1.916,0.9414,3.5081,4.1996,2.7038,0.4226,-1.9786,0.0,-2.0103,0.65,24.7371,36.3993,23.9448,3.4466,3451.41,24.0
B0006,14,1.9225,0.9446,3.5044,4.1996,2.7043,0.4228,-2.002,0.0,-2.0143,0.65,24.9303,36.0336,23.8334,3.4594,3470.37,24.0
B0006,15,1.9121,0.9394,3.5053,4.1996,2.6882,0.423,-1.9865,0.0,-2.0147,0.65,24.8963,36.339,23.8829,3.4153,3437.0,24.0
B0006,16,1.9039,0.9354,3.4989,4.1995,2.7153,0.4232,-1.9827,0.0,-2.0113,0.65,24.8237,36.4401,23.6867,3.642,3434.56,24.0
B0006,17,1.9039,0.9355,3.5042,4.1995,2.7135,0.4234,-1.9542,0.0,-2.0047,0.65,25.3571,36.313,23.8937,3.5329,3431.03,24.0
B0006,18,1.8962,0.9316,3.5006,4.1995,2.6977,0.4236,-1.975,0.0,-2.0093,0.65,25.0895,36.4009,23.762,3.5843,3423.08,24.0
B0006,19,1.883,0.9252,3.5003,4.1994,2.6988,0.4238,-2.0002,0.0,-2.0175,0.65,25.1336,36.7333,24.0365,3.5025,3394.17,24.0
B0006,20,1.8874,0.9273,3.4947,4.1994,2.7055,0.424,-1.9875,0.0,-2.0121,0.65,25.0518,36.5018,23.8194,3.6114,3401.43,24.0
